Symbol,Name,Last Trade,Change,Volume
AAL.L,Anglo American plc,"1,172.0011:35AM EST",Ê22.00(1.91%),"8,543,536"
ABF.L,Associated British Foods plc,"3,014.0011:35AM EST",Ê28.00(0.92%),"590,365"
ADM.L,Admiral Group plc,"1,459.0011:36AM EST",Ê14.00(0.95%),"686,013"
ADN.L,Aberdeen Asset Management PLC,430.8011:37AM EST,Ê4.60Ê(1.08%),"2,799,408"
AGK.L,Aggreko plc,"1,638.0011:35AM EST",Ê42.00(2.63%),"1,235,982"
AHT.L,Ashtead Group plc,"1,073.0011:37AM EST",Ê6.00Ê(0.56%),"2,306,314"
ANTO.L,Antofagasta plc,711.0011:35AM EST,Ê13.50(1.94%),"1,903,792"
ARM.L,ARM Holdings plc,"1,082.0011:35AM EST",Ê13.00(1.22%),"6,132,969"
AZN.L,AstraZeneca PLC,"4,529.0011:36AM EST",Ê159.00(3.39%),"5,925,511"
BA.L,BAE Systems plc,516.5011:35AM EST,Ê11.00(2.09%),"8,713,536"
BAB.L,Babcock International Group plc,"1,030.0011:35AM EST",Ê4.00Ê(0.39%),"695,363"
BARC.L,Barclays PLC,248.8011:35AM EST,Ê0.05Ê(0.02%),"26,413,976"
BATS.L,British American Tobacco plc,"3,689.0011:37AM EST",Ê46.50(1.24%),"2,752,706"
BDEV.L,Barratt Developments plc,470.2011:35AM EST,Ê0.20Ê(0.04%),"1,927,701"
BG.L,BG Group plc,954.8011:35AM EST,Ê22.80(2.45%),"10,659,600"
BLND.L,The British Land Company Public Limited Company,851.0011:35AM EST,Ê8.00Ê(0.95%),"2,700,270"
BLT.L,BHP Billiton plc,"1,538.0011:37AM EST",Ê11.00(0.72%),"12,278,204"
BNZL.L,Bunzl plc,"1,910.0011:35AM EST",Ê5.00Ê(0.26%),"516,618"
BP.L,BP p.l.c.,450.1011:37AM EST,Ê4.75Ê(1.07%),"31,993,132"
BRBY.L,Burberry Group plc,"1,784.0011:35AM EST",Ê12.00(0.67%),"1,280,425"
BT-A.L,BT Group plc,442.0011:35AM EST,Ê19.00(4.49%),"27,463,352"
CCH.L,COCA-COLA HBC N,"1,098.0011:35AM EST",Ê2.00Ê(0.18%),"856,616"
CCL.L,Carnival plc,"2,908.0011:35AM EST",Ê13.00(0.45%),"557,975"
CNA.L,Centrica plc,296.0011:35AM EST,Ê2.60Ê(0.89%),"9,077,441"
CPG.L,Compass Group PLC,"1,145.0011:35AM EST",Ê1.00Ê(0.09%),"5,786,450"
CPI.L,Capita plc,"1,143.0011:35AM EST",Ê18.00(1.60%),"1,233,660"
CRH.L,CRH plc,"1,750.5012:04PM EST",Ê28.50(1.60%),"6,330,002"
DC.L,DIXONS CARPHONE,425.5011:35AM EST,Ê5.50Ê(1.28%),"3,438,131"
DGE.L,Diageo plc,"1,916.5011:35AM EST",Ê8.50Ê(0.44%),"3,560,602"
DLG.L,Direct Line Insurance Group PLC,316.2011:35AM EST,Ê2.10Ê(0.66%),"3,106,167"
EXPN.L,Experian plc,"1,194.0011:35AM EST",Ê9.00Ê(0.76%),"1,565,903"
EZJ.L,easyJet plc,"1,745.5111:23AM EST",Ê32.49(1.83%),"1,994,555"
FRES.L,Fresnillo PLC,897.0011:35AM EST,Ê9.00Ê(1.01%),"866,993"
GFS.L,G4S plc,282.8011:35AM EST,Ê1.60Ê(0.57%),"2,283,004"
GKN.L,GKN plc,382.6011:35AM EST,Ê7.50Ê(2.00%),"5,350,525"
GLEN.L,Glencore Plc,268.8511:35AM EST,Ê1.85Ê(0.69%),"31,885,372"
GSK.L,GlaxoSmithKline plc,"1,500.5011:36AM EST",Ê24.50(1.66%),"10,676,720"
HL.L,Hargreaves Lansdown Plc.,998.0011:45AM EST,Ê32.00(3.31%),"2,616,240"
HMSO.L,Hammerson plc,705.5011:35AM EST,Ê5.50Ê(0.79%),"2,598,015"
HSBA.L,HSBC Holdings plc,613.4011:36AM EST,Ê2.20Ê(0.36%),"12,152,222"
IAG.L,"International Consolidated Airlines Group, S.A.",542.5011:36AM EST,Ê0.50Ê(0.09%),"9,121,578"
IHG.L,Intercontinental Hotels Group plc,"2,608.0011:35AM EST",Ê10.00(0.38%),"703,563"
III.L,3i Group plc,476.7011:35AM EST,Ê1.70Ê(0.36%),"1,326,759"
IMT.L,Imperial Tobacco Group plc,"3,019.2410:58AM EST",Ê60.76(1.97%),"2,561,904"
INTU.L,intu properties plc,373.6011:35AM EST,Ê1.60Ê(0.43%),"1,652,182"
ITRK.L,Intertek Group plc,"2,452.0011:35AM EST",Ê54.00(2.25%),"375,205"
ITV.L,ITV plc,226.0011:36AM EST,Ê4.60Ê(1.99%),"14,628,773"
JMAT.L,Johnson Matthey plc,"3,245.0011:35AM EST",Ê3.00Ê(0.09%),"579,353"
